owner,amount_ui,amount_raw,classification
HHQUnUbmWLrYzkscDY1C3deEFbGtiGBGoHjpANogmvum,2014.67104956,201467104956,REAL_HOLDER
358bvNCFoax3gMbtRT9R838VG3mKcBfrC98ZNrpZWpZJ,890.87247,89087247000,REAL_HOLDER
8Ruts3BTzk7L9Knp1NuZ5qRvJ2LbEUGKgNVHDzHUSMP3,883.11806604,88311806604,REAL_HOLDER
3xCgDJQ3PSQpoMFnijF9sQNV3J6onmQk7U3ZkxjigeAk,877.53713743,87753713743,REAL_HOLDER
D34ugCrALv7CEhaCHQdNkh3aCw9MWajeuTtgJKKo2N5S,840.619657,84061965700,REAL_HOLDER
6Da4eSUaewirY45YkrhwCjhnA6VfmupDhfSW9a6h2sLK,616.61404369,61661404369,REAL_HOLDER
GsscHYPuSQJyvioLinRzi4GW2uqkvfQGKgnsMZFBkdSx,475.46119132,47546119132,REAL_HOLDER
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,440.72749359,44072749359,REAL_HOLDER
9VQEAoHuSorD1EwFUcTyrYRQjYSA83JEGHydE15UNeB4,437.97372597,43797372597,REAL_HOLDER
6Y5GdjpaKeC4jTztayp5tkj3YcLw4xPxVtHYmdSxdaRJ,403.2171633,40321716330,REAL_HOLDER
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,376.75140143,37675140143,REAL_HOLDER
CHGfdEfKFYDWGPASCsZnpkDzvpLKNEVoAb4UEorPPkGK,358.64380303,35864380303,REAL_HOLDER
CKmjDiqBCRqR8xk5FjnFiQXuCFsGchiLv9YwYVnE5RJ8,358.24936876,35824936876,REAL_HOLDER
P6x8aA4hFtnR1VrnpQM9QRfaSPxu36wSa2hyP7tK6R9,333.97507317,33397507317,REAL_HOLDER
PpFeFeTRPYFjpD8XrqvPRi6dpCZfeCL43sfPnn7Nupf,325.05311669,32505311669,REAL_HOLDER
GWbMmsTEbH8VmVB3g7ez3SnUySmLJQJnkcYUnoh2RQuJ,300.5019711,30050197110,REAL_HOLDER
EvJ7KzJVKp6K6654q65FoBSXV44uPjR6BEKqrYykX13k,296.44520286,29644520286,REAL_HOLDER
9towSuBWMpHi9SYQkaZvqjh3vv7VHAdgJSoxH4siC2q7,284.26720982,28426720982,REAL_HOLDER
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,246.52932379,24652932379,REAL_HOLDER
4mgvHYdcdjbK63ahzjcVJoxasodbGbbGaSDrm3nL6qPN,225.30819375,22530819375,REAL_HOLDER
3NRcPsTuWQ2NQuZAsmGUx1XLxSSRUqCyBVkREeWFzoxB,208.18375636,20818375636,REAL_HOLDER
Ci8BT8MuUru8C8Q6Cf6puAB9dxEF2doBmPAKbkkigcyf,203.16447388,20316447388,REAL_HOLDER
5A3a2baZfE6VbGBkizM3HVzaCnM2aFAkRQtXsMZ85q1T,197.68423768,19768423768,REAL_HOLDER
Agwjk9PPCf2cFyTMtWBYiQAY48xwxjfj7ZAHtuSQzgqM,183.43809789,18343809789,REAL_HOLDER
HA9oNhHddEoPFSAEEYtGYZoXDkjky53TQ72jtpAnu81i,175.2511419,17525114190,REAL_HOLDER
GEM39AghFrf6H17fbYCMUC4tRK9XG1jDN2p88peX8yZ1,163.79108431,16379108431,REAL_HOLDER
3DGbTfZwr4C49QsPjEvp5wcVwFULSxxUqGPUsEM4c8BD,148.37844849,14837844849,REAL_HOLDER
BuzpFVsZwxt1Snr8ZMD81Nuh5QxW8jmHtMmYyjY7TyKr,143.92655152,14392655152,REAL_HOLDER
5HKmbBiZftF38WFDqge6D6mZkEdiBpHXjPzmC9FUMVvj,124.7294405,12472944050,REAL_HOLDER
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,122.05014806,12205014806,REAL_HOLDER
2qDmZjDsmyc6CBC3XiyCdVG9g7ZXvkUwd3fg342TQQWM,121.55511786,12155511786,REAL_HOLDER
EJLJ7GrLYXRyCnFNnRBdheodvP9foD2tmR2z96RJLzUK,121.32225417,12132225417,REAL_HOLDER
D2wFqPUwwjG3sTSwhGm3onMMcWvsmbNDvKEAmpTgftAC,120.49942021,12049942021,REAL_HOLDER
2bx7vUqWV1CkzjB2SxYkqu12LKPmDpn7zMzVzstFsYEJ,119.4660102,11946601020,REAL_HOLDER
BGZCu33CyjCA7478kxwaD6EUiQCEgTNNVsHBgj3Tvm9m,118.8099527,11880995270,REAL_HOLDER
J9FM4m7daQwGPFyMVperoy8PK32JPfMH1NdtvhN69sFo,117.64579134,11764579134,REAL_HOLDER
GbJvnbJNLLPbQijAs5nYJms1L7idr5SrSXUKAyN3Lr7L,115.95694397,11595694397,REAL_HOLDER
GVwwzerzBKAmkiYFeYzeBrXCXizLaHioVsDp1kLJkeNS,115.00421418,11500421418,REAL_HOLDER
4WcEU5B89qx8mCzrbnY4D57DeXqFovr5Ne3CXWcA9Mbo,113.92749176,11392749176,REAL_HOLDER
ApDNRxa3pBsFiNzsVTy8jHss3ngC7T4a3cup8zQ4BXZk,109.46248982,10946248982,REAL_HOLDER
BQBdTWCCxBB2FVu77rYhQsqmJ5avi2yFS1Ax7qr8LauL,109.25967278,10925967278,REAL_HOLDER
FpvrqGXvpGfwMyjtot4CrZFHMxXoSKVh5GvZUqBtE3zu,108.54608444,10854608444,REAL_HOLDER
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,107.53,10753000000,REAL_HOLDER
25WURJ7igVFMW5ngSrapXrPUHZLxeXpYmGBeA7QbiWhv,106.93751583,10693751583,REAL_HOLDER
7YftHgZgDDkPXxv5DYK5KessKPrKSF9vP5fFiHPBp2s7,105.49824304,10549824304,REAL_HOLDER
7QQFjh9H3hNVcQrUaHmL2hZviJ4gouRrYmSsLPkZBtGS,103.47770987,10347770987,REAL_HOLDER
G9fw2fR9o2YQFHYjUzHvJPDddvVt3MdrxqHw15Fv33yf,100.22441617,10022441617,REAL_HOLDER
7kKfkYLtgx43UgcRm1BFDq9GGKFKHon2uA6bvR6jy1gw,100.1578795,10015787950,REAL_HOLDER
GDeStHrPbvnBUPDTH5CyXDg4nTFD8STMkfiJA9tRXQQJ,100,10000000000,REAL_HOLDER
DL6rYDtxEKjGS6jsJ8wWbH9mk1NSfQV4SLZxMwhundG6,100,10000000000,REAL_HOLDER
BMc2nwbsiaUNSecZgyDGxQhkdY72moFjLww4KPhugvPo,96.14856212,9614856212,REAL_HOLDER
526C2EH99rX27aFmMQB6kR8caKG5N9qa1PLdgDXoMzKS,94.19055931,9419055931,REAL_HOLDER
