owner,amount_ui,amount_raw
S7vYFFWH6BjJyEsdrPQpqpYTqLTrPRK6KW3VwsJuRaS,4202.76966675,420276966675
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,4099.89802969,409989802969
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,3133.15181079,313315181079
GHmGCWM4KMhqok3gg4dJw8E72ThL4J4n8vuu4QjFp3rV,2492.01769452,249201769452
2Z7zhqp1eddmHNmEqexftST6DFPWmoL4QqfgiG5uJMJx,2245.20524268,224520524268
HHQUnUbmWLrYzkscDY1C3deEFbGtiGBGoHjpANogmvum,2014.67104956,201467104956
358bvNCFoax3gMbtRT9R838VG3mKcBfrC98ZNrpZWpZJ,890.87247,89087247000
8Ruts3BTzk7L9Knp1NuZ5qRvJ2LbEUGKgNVHDzHUSMP3,883.11806604,88311806604
3xCgDJQ3PSQpoMFnijF9sQNV3J6onmQk7U3ZkxjigeAk,877.53713743,87753713743
D34ugCrALv7CEhaCHQdNkh3aCw9MWajeuTtgJKKo2N5S,840.619657,84061965700
6Da4eSUaewirY45YkrhwCjhnA6VfmupDhfSW9a6h2sLK,616.61404369,61661404369
GsscHYPuSQJyvioLinRzi4GW2uqkvfQGKgnsMZFBkdSx,475.46119132,47546119132
GHjM7cwEMx6xQWDUs3Xemp2J6EhpJCXaTb6WQRXB1mR3,462.96762653,46296762653
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,440.72749359,44072749359
9VQEAoHuSorD1EwFUcTyrYRQjYSA83JEGHydE15UNeB4,437.97372597,43797372597
6Y5GdjpaKeC4jTztayp5tkj3YcLw4xPxVtHYmdSxdaRJ,403.2171633,40321716330
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,376.75140143,37675140143
CHGfdEfKFYDWGPASCsZnpkDzvpLKNEVoAb4UEorPPkGK,358.64380303,35864380303
CKmjDiqBCRqR8xk5FjnFiQXuCFsGchiLv9YwYVnE5RJ8,358.24936876,35824936876
P6x8aA4hFtnR1VrnpQM9QRfaSPxu36wSa2hyP7tK6R9,333.97507317,33397507317
PpFeFeTRPYFjpD8XrqvPRi6dpCZfeCL43sfPnn7Nupf,325.05311669,32505311669
GWbMmsTEbH8VmVB3g7ez3SnUySmLJQJnkcYUnoh2RQuJ,300.5019711,30050197110
EvJ7KzJVKp6K6654q65FoBSXV44uPjR6BEKqrYykX13k,296.44520286,29644520286
9towSuBWMpHi9SYQkaZvqjh3vv7VHAdgJSoxH4siC2q7,284.26720982,28426720982
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,246.52932379,24652932379
4mgvHYdcdjbK63ahzjcVJoxasodbGbbGaSDrm3nL6qPN,225.30819375,22530819375
3NRcPsTuWQ2NQuZAsmGUx1XLxSSRUqCyBVkREeWFzoxB,208.18375636,20818375636
Ci8BT8MuUru8C8Q6Cf6puAB9dxEF2doBmPAKbkkigcyf,203.16447388,20316447388
5A3a2baZfE6VbGBkizM3HVzaCnM2aFAkRQtXsMZ85q1T,197.68423768,19768423768
Agwjk9PPCf2cFyTMtWBYiQAY48xwxjfj7ZAHtuSQzgqM,183.43809789,18343809789
HA9oNhHddEoPFSAEEYtGYZoXDkjky53TQ72jtpAnu81i,175.2511419,17525114190
GEM39AghFrf6H17fbYCMUC4tRK9XG1jDN2p88peX8yZ1,163.79108431,16379108431
3DGbTfZwr4C49QsPjEvp5wcVwFULSxxUqGPUsEM4c8BD,148.37844849,14837844849
BuzpFVsZwxt1Snr8ZMD81Nuh5QxW8jmHtMmYyjY7TyKr,143.92655152,14392655152
5HKmbBiZftF38WFDqge6D6mZkEdiBpHXjPzmC9FUMVvj,124.7294405,12472944050
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,122.05014806,12205014806
2qDmZjDsmyc6CBC3XiyCdVG9g7ZXvkUwd3fg342TQQWM,121.55511786,12155511786
EJLJ7GrLYXRyCnFNnRBdheodvP9foD2tmR2z96RJLzUK,121.32225417,12132225417
D2wFqPUwwjG3sTSwhGm3onMMcWvsmbNDvKEAmpTgftAC,120.49942021,12049942021
2bx7vUqWV1CkzjB2SxYkqu12LKPmDpn7zMzVzstFsYEJ,119.4660102,11946601020
BGZCu33CyjCA7478kxwaD6EUiQCEgTNNVsHBgj3Tvm9m,118.8099527,11880995270
J9FM4m7daQwGPFyMVperoy8PK32JPfMH1NdtvhN69sFo,117.64579134,11764579134
GbJvnbJNLLPbQijAs5nYJms1L7idr5SrSXUKAyN3Lr7L,115.95694397,11595694397
GVwwzerzBKAmkiYFeYzeBrXCXizLaHioVsDp1kLJkeNS,115.00421418,11500421418
4WcEU5B89qx8mCzrbnY4D57DeXqFovr5Ne3CXWcA9Mbo,113.92749176,11392749176
ApDNRxa3pBsFiNzsVTy8jHss3ngC7T4a3cup8zQ4BXZk,109.46248982,10946248982
BQBdTWCCxBB2FVu77rYhQsqmJ5avi2yFS1Ax7qr8LauL,109.25967278,10925967278
FpvrqGXvpGfwMyjtot4CrZFHMxXoSKVh5GvZUqBtE3zu,108.54608444,10854608444
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,107.53,10753000000
25WURJ7igVFMW5ngSrapXrPUHZLxeXpYmGBeA7QbiWhv,106.93751583,10693751583
7YftHgZgDDkPXxv5DYK5KessKPrKSF9vP5fFiHPBp2s7,105.49824304,10549824304
7QQFjh9H3hNVcQrUaHmL2hZviJ4gouRrYmSsLPkZBtGS,103.47770987,10347770987
